id,total,m20vref,m20v,massref,mass
1545,23,M20V00013,FA-2,MASS00245,BA-2Z
1546,67,M20V01797,FA-2,MASS01280,P/BA-3/BA-4St
1547,113,M20V00512,FA-1,MASS00351,BA-5/BA-7
1548,32,M20V00492,FA-1,MASS00764,BA-5
1549,14,M20V01515,FA-1,MASS00856,BA-7
1550,2,M20V00046,FA-2,MASS00268,BA-2Z
1551,30,M20V00171,FA-1,MASS00418,BA-5
1552,0,M20V00041,FA-2,MASS00268,BA-2Z
1553,0,M20V01649,FA-1,MASS01010,BA-5/BA-8Es
1554,2357,M20V00644,FA-1,MASS00884,BA-5
1555,0,M20V01968,FA-2,MASS01794,BA-3/BA-4Panas
1556,50,M20V01267,FA-3,MASS01323,P/BA-3
1557,0,M20V00830,FA-2,MASS00977,BA-1/BA-4CLOOS
1558,46,M20V00512,FA-1,MASS00351,BA-5/BA-7
1559,8,M20V00049,FA-2,MASS00282,BA-2Z
1560,244,M20V00222,FA-1,MASS00486,BA-5
1561,269,M20V00226,FA-1,MASS00490,BA-5
1562,241,M20V00542,FA-2,MASS00805,P/BA-1/BA-4Z
1563,47,M20V00011,FA-2,MASS00243,BA-2Z
1564,45,M20V00153,FA-1,MASS00400,BA-5/BA-8SSP
1565,32,M20V01224,FA-2,MASS01291,BA-2
1566,29,M20V01221,FA-2,MASS01288,P/BA-2
1567,25,M20V00880,FA-2,MASS01047,BA-4St/P/BA-1
1568,16,M20V01797,FA-2,MASS01280,P/BA-3/BA-4St
1569,0,M20V01267,FA-3,MASS01323,P/BA-3
1570,113,M20V00492,FA-1,MASS00764,BA-5
1571,181,M20V01387,FA-1,MASS00957,BA-5
1572,46,M20V00600,FA-2,MASS00849,P/BA-1/BA-4ABB
1573,55,M20V01385,FA-1,MASS01009,BA-7
1574,30,M20V00171,FA-1,MASS00418,BA-5
1575,0,M20V00806,FA-2,MASS00999,BA-4St/P/BA-1
1576,8,M20V01569,FA-1,MASS01512,BA-7
1577,338,M20V00024,FA-2,MASS00254,BA-2Z
1578,440,M20V01651,FA-1,MASS01470,BA-7/BA-8Es
1579,142,M20V01714,FA-2,MASS01613,P/BA-2
1580,5,M20V00816,FA-2,MASS01008,BA-4St/P/BA-1
1581,44,M20V01447,FA-2,MASS01425,BA-1/BA-4ABB
1582,1,M20V01224,FA-2,MASS01291,BA-2
1583,4,M20V01137,FA-2,MASS01224,P/BA-3/BA-4St
1584,228,M20V00062,FA-1,MASS00302,BA-5/BA-7
1585,124,M20V00046,FA-2,MASS00268,BA-2Z
1586,4,M20V00063,FA-2,MASS00305,BA-1/BA-4CLOOS
1587,2,M20V00049,FA-2,MASS00282,BA-2Z
1588,2,M20V00051,FA-2,MASS00284,BA-1/BA-4CLOOS
1589,0,M20V01204,FA-2,MASS01271,P/BA-3
1590,0,M20V00017,FA-2,MASS00250,BA-2Z
1591,0,M20V01204,FA-2,MASS01271,P/BA-3
1592,0,M20V00766,FA-1,MASS00957,BA-5
1593,0,M20V00040,FA-2,MASS00267,BA-2
1594,187,M20V00639,FA-3,MASS00880,P/BA-2
1595,145,M20V01716,FA-1,MASS01615,BA-7
1596,131,M20V01388,FA-1,MASS01028,BA-5/BA-8SSW
1597,103,M20V00190,FA-1,MASS00435,BA-5
1598,203,M20V01321,FA-1,MASS01354,BA-5
1599,134,M20V00428,FA-2,MASS00698,P/BA-1/BA-4ABB
1600,0,M20V00816,FA-2,MASS01008,BA-4St/P/BA-1
1601,573,M20V00726,FA-1,MASS00932,BA-5/BA-8SSP
1602,517,M20V00527,FA-1,MASS00792,BA-5
1603,362,M20V00189,FA-1,MASS00434,BA-7
1604,153,M20V00421,FA-1,MASS00691,BA-5/BA-8Es
1605,73,M20V01494,FA-1,MASS01463,BA-5
1606,7,M20V00189,FA-1,MASS00434,BA-7
